,Week,Team1,Score1,Team2,Score2
101,13,Team Siebenberger,121.82,Ice T Half Deaf HalfT,97.86
102,13,,,Team Masters,41.62
103,9,Nowhere to Hyde,145.62,Flint Tropics,111.56
104,6,Team Siebenberger,117.96,,
105,14,Red Solo Kupp,139.46,Nowhere to Hyde,135.46
106,14,Ice T Half Deaf HalfT,103.1,Team Siebenberger,162.04
107,14,Flint Tropics,146.32,Lights Kamara Action,101.98
108,14,YouTube Andrew Yang,73.1,Team Baker,100.86
109,14,No Money Manziel ,175.8,Team Callahan,108.66
110,14,Team JeffD,105.02,Jimmy Gâs Rehab Clinic,75.38
111,14,Team Masters,78.56,Team Masters,46.9
112,14,,,"All Barkely, No Bite",63.5
113,15,Red Solo Kupp,139.42,Team Siebenberger,87.6
114,15,Flint Tropics,97.02,Team Baker,136.68
115,15,Lights Kamara Action,116.42,Nowhere to Hyde,171.9
116,15,YouTube Andrew Yang,113.48,Ice T Half Deaf HalfT,156.02
117,15,Team JeffD,82.3,No Money Manziel ,158.26
118,15,Team Masters,87.18,Team Callahan,92.82
119,15,"All Barkely, No Bite",72.4,Jimmy Gâs Rehab Clinic,78.36
120,15,,,Team Masters,24.0
121,16,Red Solo Kupp,101.72,Team Baker,118.44
122,16,Flint Tropics,99.16,Team Siebenberger,126.8
123,16,Ice T Half Deaf HalfT,105.1,Nowhere to Hyde,100.94
124,16,YouTube Andrew Yang,133.82,Lights Kamara Action,93.74
125,16,No Money Manziel ,144.34,Team Callahan,72.66
126,16,Team JeffD,105.26,Jimmy Gâs Rehab Clinic,83.34
127,16,Team Masters,93.36,Team Masters,56.7
128,16,,,"All Barkely, No Bite",87.6
